reservation_id,restaurant_id,customer_id,reservation_date,reservation_time,party_size,table_number,special_occasion,dietary_requirements,status,created_at,confirmed_at,cancelled_at,cancellation_reason,no_show,deposit_amount,deposit_status
RES_1000,golden-spoon-001,CUST5192,14-09-2025,18:15:00,8,TABLE_13,ANNIVERSARY,No shellfish,COMPLETED,2025-09-04T00:00:00,2025-09-09T00:00:00,,,FALSE,0,NA
RES_1001,golden-spoon-001,CUST5077,22-10-2025,18:15:00,2,TABLE_05,,Vegetarian,CONFIRMED,2025-10-10T00:00:00,2025-10-19T00:00:00,,,FALSE,0,NA
RES_1002,golden-spoon-001,CUST5206,05-10-2025,21:00:00,4,TABLE_07,ANNIVERSARY,Vegan,CONFIRMED,2025-10-01T00:00:00,2025-09-30T00:00:00,,,FALSE,0,PAID
RES_1003,golden-spoon-001,CUST5130,17-11-2025,21:00:00,2,TABLE_12,BUSINESS_MEETING,,COMPLETED,2025-11-15T00:00:00,2025-11-11T00:00:00,,,FALSE,1000,NA
RES_1004,golden-spoon-001,CUST5449,15-11-2025,21:45:00,4,TABLE_11,BUSINESS_MEETING,Vegan,CANCELLED,2025-11-14T00:00:00,,2025-11-15T00:00:00,Weather,FALSE,0,PAID
RES_1005,golden-spoon-001,CUST5229,22-09-2025,18:30:00,4,TABLE_16,ANNIVERSARY,Vegan,COMPLETED,2025-09-15T00:00:00,2025-09-16T00:00:00,,,FALSE,0,PAID
RES_1006,golden-spoon-001,CUST5134,03-11-2025,18:30:00,4,TABLE_18,ANNIVERSARY,,COMPLETED,2025-10-20T00:00:00,2025-11-03T00:00:00,,,FALSE,0,REFUNDED
RES_1007,golden-spoon-001,CUST5285,05-10-2025,18:45:00,6,TABLE_07,,,COMPLETED,2025-09-25T00:00:00,2025-10-01T00:00:00,,,FALSE,1000,REFUNDED
RES_1008,golden-spoon-001,CUST5265,28-10-2025,19:30:00,2,TABLE_11,,,COMPLETED,2025-10-14T00:00:00,2025-10-22T00:00:00,,,FALSE,1000,NA
RES_1009,golden-spoon-001,CUST5396,25-10-2025,18:15:00,8,TABLE_15,,,CONFIRMED,2025-10-15T00:00:00,2025-10-19T00:00:00,,,FALSE,1000,PAID
